City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Zavodouspenskoye,RU,56.86,65.02,35.6,87,75,6.71,broken clouds
182,Pervomayskiy,RU,53.25,40.29,37.0,70,8,2.51,clear sky
183,Buchanan,LR,5.88,-10.05,80.6,94,40,6.24,scattered clouds
184,Yarmouth,US,41.71,-70.23,52.0,40,1,6.91,clear sky
185,Etah,IN,27.63,78.67,77.25,9,43,4.14,scattered clouds
186,Marawi,PH,8.00,124.29,67.17,95,100,0.49,overcast clouds
187,Santiago Del Estero,AR,-27.80,-64.26,82.38,45,75,11.36,broken clouds
188,Saint-Augustin,CA,51.23,-58.65,36.16,99,100,18.7,overcast clouds
189,Lodeynoye Pole,RU,60.73,33.55,34.72,91,100,11.59,overcast clouds
190,Puerto Maldonado,PE,-12.60,-69.18,76.06,96,96,2.37,moderate rain
191,Micomeseng,GQ,2.15,10.62,72.07,97,95,2.73,overcast clouds
192,Akdepe,TM,42.06,59.38,48.2,71,0,9.22,clear sky
193,Omboue,GA,-1.57,9.26,78.49,90,100,6.06,light rain
194,Kalmunai,LK,7.42,81.82,78.48,83,87,5.66,overcast clouds
195,Florianopolis,BR,-27.61,-48.50,78.01,73,40,8.05,scattered clouds
196,Hagere Selam,ET,6.48,38.52,51.94,82,65,3.2,broken clouds
197,Mantua,IT,45.17,10.78,46.4,49,20,4.61,few clouds
198,Atar,MR,20.52,-13.05,85.05,12,56,9.22,broken clouds
199,Shelburne,CA,44.08,-80.20,55.4,33,1,9.22,clear sky
200,Bambous Virieux,MU,-20.34,57.76,81.0,75,42,7.0,scattered clouds
201,Bud,US,39.45,-86.18,73.4,33,1,5.75,clear sky
202,Bandarbeyla,SO,9.49,50.81,77.92,79,50,2.08,scattered clouds
203,Ati,TD,13.22,18.34,87.06,11,74,12.03,broken clouds
204,Gamboma,CG,-1.88,15.86,76.95,78,91,1.77,light rain
205,Tondon,GN,10.37,-13.35,77.58,74,100,2.95,overcast clouds
206,La Palma,US,33.85,-118.05,79.0,52,1,13.8,clear sky
207,Matara,LK,5.95,80.54,75.2,89,100,7.14,overcast clouds
208,Tabou,CI,4.42,-7.35,79.0,88,44,5.88,light rain
209,Sept-Iles,CA,50.20,-66.38,33.8,93,90,5.75,light rain
210,Andenes,NO,69.31,16.12,28.4,86,71,13.8,broken clouds
211,Mecca,SA,21.43,39.83,76.75,38,100,5.44,overcast clouds
212,Plettenberg Bay,ZA,-34.05,23.37,66.72,85,100,4.99,overcast clouds
213,Sinnamary,GF,5.38,-52.95,77.67,88,100,9.51,overcast clouds
214,Kaabong,UG,3.48,34.15,66.74,80,100,2.59,light rain
215,Harboore,DK,56.62,8.18,42.01,3,100,3.0,light rain
216,Kikwit,CD,-5.04,18.82,69.31,96,100,3.11,overcast clouds
217,Iqaluit,CA,63.75,-68.51,8.6,78,20,2.3,few clouds
218,Cuamba,MZ,-14.80,36.54,66.2,97,15,2.62,few clouds
219,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.13,96,100,2.86,moderate rain
220,Tahta,EG,26.77,31.50,68.0,22,0,6.91,clear sky
221,San Vicente De Canete,PE,-13.08,-76.38,73.38,77,45,4.9,scattered clouds
222,Rocha,UY,-34.48,-54.33,65.98,92,26,8.55,scattered clouds
223,Golubitskaya,RU,45.32,37.28,48.2,93,100,11.18,mist
224,Moen,NO,69.13,18.61,23.0,93,97,2.3,overcast clouds
225,Talcahuano,CL,-36.72,-73.12,57.2,82,75,8.05,broken clouds
226,Solhan,TR,38.96,41.03,39.49,82,71,0.96,broken clouds
227,Longyearbyen,SJ,78.22,15.64,23.0,68,75,33.38,broken clouds
228,Marsh Harbour,BS,26.54,-77.06,67.6,57,100,15.26,overcast clouds
229,Inirida,CO,3.87,-67.92,77.25,96,100,1.28,moderate rain
230,Bindi,SL,9.92,-11.45,84.67,50,68,8.61,broken clouds
231,Belogorsk,RU,50.92,128.46,34.47,77,100,9.01,overcast clouds
232,Sabha,LY,27.04,14.43,74.7,9,32,14.27,scattered clouds
233,Zemio,CF,5.03,25.14,80.76,24,99,3.71,overcast clouds
234,Grindavik,IS,63.84,-22.43,17.6,57,75,13.8,broken clouds
235,Moldava Nad Bodvou,SK,48.61,21.00,33.01,69,0,3.44,clear sky
236,Agadez,NE,19.75,10.25,73.4,10,99,4.27,overcast clouds
237,Murdochville,CA,48.96,-65.50,28.4,93,100,9.22,light snow
238,Inongo,CD,-1.95,18.27,73.71,91,100,6.33,light rain
239,Labytnangi,RU,66.66,66.42,24.8,95,100,7.58,overcast clouds
240,Tambopata,PE,-12.73,-69.18,75.27,96,95,2.57,light rain
241,Hofn,IS,64.25,-15.21,17.33,57,36,22.32,scattered clouds
242,Utica,US,43.10,-75.23,55.4,33,1,16.11,clear sky
243,San Andres,CO,12.58,-81.70,86.0,62,20,13.8,few clouds
244,Vila Do Maio,CV,15.13,-23.22,77.0,57,0,17.27,clear sky
245,Kovernino,RU,57.13,43.81,22.51,97,19,4.5,few clouds
