City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Aasiaat,GL,2021-03-27 02:34:35,68.7098,-52.8699,-19.28,99,100,3.29
132,Ekibastuz,KZ,2021-03-27 02:34:36,51.6667,75.3667,29.53,93,100,7.63
133,Tutoia,BR,2021-03-27 02:34:36,-2.7619,-42.2744,74.8,92,100,5.93
134,Dalbandin,PK,2021-03-27 02:34:36,28.8947,64.4101,78.87,13,0,3.44
135,Namibe,AO,2021-03-27 02:34:36,-15.1961,12.1522,73.76,80,83,5.97
136,Lebu,CL,2021-03-27 02:21:12,-37.6167,-73.65,55.11,78,71,18.3
137,Los Llanos De Aridane,ES,2021-03-27 02:24:40,28.6585,-17.9182,68.0,60,75,3.44
138,Bakel,SN,2021-03-27 02:34:37,14.905,-12.4568,84.65,8,2,13.31
139,Gamba,GA,2021-03-27 02:34:37,-2.65,10.0,76.15,86,100,4.76
140,Porbandar,IN,2021-03-27 02:34:38,21.6422,69.6093,81.28,52,3,8.84
141,Belyy Yar,RU,2021-03-27 02:26:36,53.6039,91.3903,23.0,80,12,3.53
142,Saint-Pierre,RE,2021-03-27 02:34:38,-21.3393,55.4781,75.2,73,67,5.75
143,Vigrestad,NO,2021-03-27 02:34:38,58.5667,5.7,39.99,96,100,1.99
144,Abu Kamal,SY,2021-03-27 02:34:39,34.4506,40.9171,48.18,36,2,19.66
145,Gazojak,TM,2021-03-27 02:34:39,41.1875,61.4036,52.41,68,47,9.62
146,Saint-Leu,RE,2021-03-27 02:34:39,-21.15,55.2833,75.2,73,71,5.75
147,Saldanha,ZA,2021-03-27 02:34:39,-33.0117,17.9442,64.4,88,90,14.05
148,Ormstown,CA,2021-03-27 02:34:40,45.1334,-73.9992,39.2,93,100,10.36
149,Georgetown,MY,2021-03-27 02:34:40,5.4112,100.3354,84.2,78,20,5.75
150,Lazurne,UA,2021-03-27 02:34:40,46.084,32.5295,32.0,80,0,8.95
151,Ribeira Grande,PT,2021-03-27 02:29:44,38.5167,-28.7,57.7,63,86,6.69
152,Oxelosund,SE,2021-03-27 02:34:41,58.6706,17.1015,39.2,93,0,5.75
153,Kudahuvadhoo,MV,2021-03-27 02:34:41,2.6708,72.8944,80.62,79,100,11.54
154,Sindou,BF,2021-03-27 02:34:41,10.6667,-5.1667,81.34,14,1,6.76
155,General Roca,AR,2021-03-27 02:34:42,-39.0333,-67.5833,55.4,67,0,6.71
156,Barra Do Garcas,BR,2021-03-27 02:34:42,-15.89,-52.2567,73.54,73,48,0.92
157,Chanika,TZ,2021-03-27 02:34:42,-5.4167,38.0167,67.69,95,100,4.45
158,Paldiski,EE,2021-03-27 02:34:43,59.3567,24.0531,37.99,100,20,2.3
159,Santa Cruz De Tenerife,ES,2021-03-27 02:34:31,28.4682,-16.2546,64.99,87,0,5.75
160,Santa Fe,AR,2021-03-27 02:34:43,-31.6333,-60.7,58.73,82,14,12.41
161,Richards Bay,ZA,2021-03-27 02:34:43,-28.783,32.0377,67.41,89,82,4.09
162,Tpig,RU,2021-03-27 02:34:43,41.7801,47.589,21.0,86,31,1.97
163,Clyde River,CA,2021-03-27 02:34:44,70.4692,-68.5914,-11.2,58,1,3.44
164,Macas,EC,2021-03-27 02:30:52,-2.3167,-78.1167,67.46,98,98,2.3
165,Bandarbeyla,SO,2021-03-27 02:34:44,9.4942,50.8122,76.5,75,100,9.28
166,Maldonado,UY,2021-03-27 02:34:44,-34.6667,-54.9167,69.8,100,75,4.61
167,Batticaloa,LK,2021-03-27 02:25:35,7.7102,81.6924,80.91,81,97,3.85
168,Bogande,BF,2021-03-27 02:34:45,12.9714,-0.1436,79.83,17,3,9.44
169,Raudeberg,NO,2021-03-27 02:34:45,61.9875,5.1352,39.99,82,100,17.67
170,Grand Gaube,MU,2021-03-27 02:29:59,-20.0064,57.6608,75.99,86,11,1.61
171,Bahia Blanca,AR,2021-03-27 02:34:46,-38.7196,-62.2724,60.48,66,100,11.5
172,Sayyan,YE,2021-03-27 02:34:46,15.1718,44.3244,52.05,15,15,3.42
173,Bathsheba,BB,2021-03-27 02:34:46,13.2167,-59.5167,77.0,65,20,21.85
