City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Vila Do Maio,CV,77.0,clear sky,15.13,-23.22,Residence 'I Delfini'
246,Nador,MA,59.0,scattered clouds,35.17,-2.93,Hôtel La Giralda
249,Mancio Lima,BR,78.8,light rain,-7.61,-72.9,Hotel e Distribuidora Voyage
250,Maracas,BR,71.42,scattered clouds,-13.44,-40.43,Pousada Vale Aprazível
251,Porto Belo,BR,78.01,scattered clouds,-27.16,-48.55,Costa Verde Beach Hotel
253,Saint Anthony,US,77.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
256,Carutapera,BR,76.32,overcast clouds,-1.2,-46.02,Lidera
257,Zvishavane,ZW,60.58,clear sky,-20.33,30.07,Hotel Boutique Runde
258,Malakal,SS,88.72,broken clouds,9.53,31.66,Nile Palace Hotel
259,Monforte De Lemos,ES,53.01,clear sky,42.52,-7.51,Hotel Cardenal
260,Acarau,BR,79.74,overcast clouds,-2.89,-40.12,castelo pizzaria
261,Ballina,AU,68.0,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
263,Peniche,PT,55.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
264,Praia Da Vitoria,PT,59.0,broken clouds,38.73,-27.07,Hotel Branco I
267,Joao Pinheiro,BR,75.83,overcast clouds,-17.74,-46.17,Hotel Santos
271,Mercedes,AR,73.99,overcast clouds,-34.65,-59.43,Posada del Inti Centro
272,Camacha,PT,60.8,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
273,Grabouw,ZA,64.99,clear sky,-34.15,19.02,Belfield Wines and Farm Cottages
274,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
276,Havelock,US,66.99,clear sky,34.88,-76.9,Sherwood Motel
279,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
280,Bhaderwah,IN,50.92,overcast clouds,32.98,75.72,Hotel Shiv Residency and Restaurant Bhaderwah (J&K)
281,Alta Floresta,BR,76.19,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
282,Gat,IL,57.99,clear sky,31.61,34.76,OlusHome
283,Ancud,CL,62.01,clear sky,-41.87,-73.82,Hotel Arena Gruesa
285,Jalu,LY,71.06,clear sky,29.03,21.55,صاحبة الفخامة
286,Hamilton,US,73.4,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
287,Batticaloa,LK,78.96,broken clouds,7.71,81.69,Grand Star Guest House
290,Grand-Santi,GF,74.14,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
291,Shagamu,NG,86.0,few clouds,6.84,3.65,Remo Majestic Hotel
292,Barcelos,PT,61.0,clear sky,41.54,-8.62,Hotel Do Terço
293,Castelldefels,ES,57.0,clear sky,41.28,1.97,Gran Hotel Rey Don Jaime
294,Gualaquiza,EC,65.68,light rain,-3.4,-78.55,Hotel Merceditas
295,Caraballeda,VE,82.4,scattered clouds,10.61,-66.85,Hotel 15 Letras
296,Gazanjyk,TM,56.7,clear sky,39.24,55.52,Railway motel
298,San Francisco,US,61.0,broken clouds,37.77,-122.42,Travelodge by Wyndham San Francisco Central
300,Cabinda,AO,79.9,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
301,Hobyo,SO,82.24,broken clouds,5.35,48.53,Halane Hotel and Restaurent
302,Mango,US,77.0,broken clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon
303,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
